Matrix size: 100 x 100,,,,,
iteracion,secuencial,cuda,tiled,aceleracion,resultado
1,0.0026530000,0.0000890000,0.0000650000,40.8153846154,Good calculation
2,0.0012130000,0.0000880000,0.0000650000,18.6615384615,Good calculation
3,0.0012050000,0.0000930000,0.0000620000,19.4354838710,Good calculation
4,0.0012050000,0.0000880000,0.0000660000,18.2575757576,Good calculation
5,0.0012080000,0.0000880000,0.0000650000,18.5846153846,Good calculation
6,0.0012060000,0.0000880000,0.0000660000,18.2727272727,Good calculation
7,0.0012040000,0.0000890000,0.0000650000,18.5230769231,Good calculation
8,0.0012070000,0.0000890000,0.0000630000,19.1587301587,Good calculation
9,0.0012050000,0.0000870000,0.0000630000,19.1269841270,Good calculation
10,0.0012040000,0.0000900000,0.0000630000,19.1111111111,Good calculation
11,0.0012050000,0.0000910000,0.0000620000,19.4354838710,Good calculation
12,0.0012050000,0.0000890000,0.0000630000,19.1269841270,Good calculation
13,0.0012050000,0.0000890000,0.0000640000,18.8281250000,Good calculation
14,0.0012040000,0.0000890000,0.0000640000,18.8125000000,Good calculation
15,0.0012050000,0.0000890000,0.0000650000,18.5384615385,Good calculation
16,0.0012070000,0.0000920000,0.0000660000,18.2878787879,Good calculation
17,0.0012050000,0.0000880000,0.0000630000,19.1269841270,Good calculation
18,0.0012110000,0.0000930000,0.0000620000,19.5322580645,Good calculation
19,0.0012150000,0.0000930000,0.0000640000,18.9843750000,Good calculation
20,0.0012060000,0.0000910000,0.0000640000,18.8437500000,Good calculation
Matrix size: 500 x 500,,,,,
iteracion,secuencial,cuda,tiled,aceleracion,resultado
1,0.1488210000,0.0025650000,0.0011280000,131.9335106383,Good calculation
2,0.1488250000,0.0025430000,0.0011120000,133.8354316547,Good calculation
3,0.1488890000,0.0025600000,0.0011200000,132.9366071429,Good calculation
4,0.1488430000,0.0025380000,0.0011070000,134.4561878952,Good calculation
5,0.1488630000,0.0025570000,0.0011260000,132.2051509769,Good calculation
6,0.1489580000,0.0025730000,0.0011380000,130.8945518453,Good calculation
7,0.1488480000,0.0025830000,0.0011280000,131.9574468085,Good calculation
8,0.1488350000,0.0025880000,0.0011260000,132.1802841918,Good calculation
9,0.1489050000,0.0025590000,0.0011270000,132.1251109139,Good calculation
10,0.1493610000,0.0025560000,0.0011210000,133.2390722569,Good calculation
11,0.1488310000,0.0025640000,0.0011290000,131.8255093003,Good calculation
12,0.1488480000,0.0025570000,0.0011110000,133.9765976598,Good calculation
13,0.1491230000,0.0025680000,0.0011200000,133.1455357143,Good calculation
14,0.1488230000,0.0025500000,0.0011100000,134.0747747748,Good calculation
15,0.1488320000,0.0025440000,0.0011250000,132.2951111111,Good calculation
16,0.1495180000,0.0025690000,0.0011280000,132.5514184397,Good calculation
17,0.1494710000,0.0025280000,0.0011040000,135.3903985507,Good calculation
18,0.1490130000,0.0025290000,0.0011070000,134.6097560976,Good calculation
19,0.1488920000,0.0025520000,0.0011100000,134.1369369369,Good calculation
20,0.1488930000,0.0025470000,0.0011110000,134.0171017102,Good calculation
Matrix size: 700 x 700,,,,,
iteracion,secuencial,cuda,tiled,aceleracion,resultado
1,0.4089010000,0.0060960000,0.0022720000,179.9740316901,Good calculation
2,0.4085400000,0.0061430000,0.0022670000,180.2117335686,Good calculation
3,0.4104320000,0.0061110000,0.0022700000,180.8070484581,Good calculation
4,0.4086750000,0.0061160000,0.0022690000,180.1123843103,Good calculation
5,0.4082390000,0.0061080000,0.0022660000,180.1584289497,Good calculation
6,0.4085870000,0.0061290000,0.0023030000,177.4151107251,Good calculation
