Matrix size: 100 x 100,,,,
iteracion,secuencial,cuda,aceleracion,resultado
1,0.0045250000,0.0000850000,53.2352941176,Good calculation
2,0.0012070000,0.0000820000,14.7195121951,Good calculation
3,0.0012120000,0.0000830000,14.6024096386,Good calculation
4,0.0012080000,0.0000870000,13.8850574713,Good calculation
5,0.0012120000,0.0000850000,14.2588235294,Good calculation
6,0.0012100000,0.0000820000,14.7560975610,Good calculation
7,0.0012070000,0.0000840000,14.3690476190,Good calculation
8,0.0012130000,0.0000830000,14.6144578313,Good calculation
9,0.0012050000,0.0000820000,14.6951219512,Good calculation
10,0.0012140000,0.0000820000,14.8048780488,Good calculation
11,0.0012050000,0.0000840000,14.3452380952,Good calculation
12,0.0012080000,0.0000820000,14.7317073171,Good calculation
13,0.0012050000,0.0000860000,14.0116279070,Good calculation
14,0.0012050000,0.0000870000,13.8505747126,Good calculation
15,0.0012050000,0.0000820000,14.6951219512,Good calculation
16,0.0012050000,0.0000820000,14.6951219512,Good calculation
17,0.0012140000,0.0000820000,14.8048780488,Good calculation
18,0.0012050000,0.0000830000,14.5180722892,Good calculation
19,0.0012070000,0.0000830000,14.5421686747,Good calculation
20,0.0012050000,0.0000840000,14.3452380952,Good calculation
Matrix size: 500 x 500,,,,
iteracion,secuencial,cuda,aceleracion,resultado
1,0.1488910000,0.0025650000,58.0471734893,Good calculation
2,0.1488210000,0.0025590000,58.1559202814,Good calculation
3,0.1488090000,0.0025700000,57.9023346304,Good calculation
4,0.1488980000,0.0025690000,57.9595173219,Good calculation
5,0.1488440000,0.0025600000,58.1421875000,Good calculation
6,0.1492140000,0.0025570000,58.3551036371,Good calculation
7,0.1488590000,0.0025660000,58.0120810600,Good calculation
8,0.1488880000,0.0025580000,58.2048475371,Good calculation
9,0.1488270000,0.0026170000,56.8693160107,Good calculation
10,0.1488280000,0.0025560000,58.2269170579,Good calculation
11,0.1488060000,0.0025610000,58.1046466224,Good calculation
12,0.1492030000,0.0025700000,58.0556420233,Good calculation
13,0.1490950000,0.0025570000,58.3085647243,Good calculation
14,0.1488830000,0.0025310000,58.8237850652,Good calculation
15,0.1490350000,0.0025350000,58.7909270217,Good calculation
16,0.1488390000,0.0025730000,57.8464827050,Good calculation
17,0.1488280000,0.0025780000,57.7300232739,Good calculation
18,0.1488220000,0.0025640000,58.0429017161,Good calculation
19,0.1497220000,0.0025280000,59.2254746835,Good calculation
20,0.1492620000,0.0025600000,58.3054687500,Good calculation
Matrix size: 700 x 700,,,,
iteracion,secuencial,cuda,aceleracion,resultado
1,0.4084330000,0.0061780000,66.1108773066,Good calculation
2,0.4090190000,0.0061140000,66.8987569513,Good calculation
3,0.4083020000,0.0061320000,66.5854533594,Good calculation
4,0.4088760000,0.0061220000,66.7879777850,Good calculation
5,0.4083760000,0.0061430000,66.4782679473,Good calculation
6,0.4089690000,0.0061210000,66.8140826662,Good calculation
7,0.4084390000,0.0061280000,66.6512728460,Good calculation
8,0.4086750000,0.0061160000,66.8206344016,Good calculation
9,0.4086640000,0.0061080000,66.9063523248,Good calculation
10,0.4082680000,0.0060910000,67.0280742078,Good calculation
11,0.4096680000,0.0061130000,67.0158678227,Good calculation
12,0.4099780000,0.0061500000,66.6630894309,Good calculation
13,0.4089880000,0.0061220000,66.8062724600,Good calculation
14,0.4082920000,0.0061070000,66.8563943016,Good calculation
15,0.4095840000,0.0060870000,67.2883193691,Good calculation
16,0.4100170000,0.0061290000,66.8978626203,Good calculation
17,0.4087290000,0.0061690000,66.2553088021,Good calculation
18,0.4082140000,0.0061820000,66.0326755095,Good calculation
19,0.4084820000,0.0061190000,66.7563327341,Good calculation
