Imagen: img1.jpg
Iteracion,opencv,cuda,aceleracion
1,0.0074170000,0.0077450000,0.9576500968
2,0.0077370000,0.0027980000,2.7651894210
3,0.0085460000,0.0027640000,3.0918958032
4,0.0081710000,0.0026960000,3.0307863501
5,0.0087160000,0.0075970000,1.1472949849
6,0.0058130000,0.0029710000,1.9565802760
7,0.0076310000,0.0027900000,2.7351254480
8,0.0087210000,0.0075850000,1.1497692815
9,0.0086920000,0.0077940000,1.1152168335
10,0.0082950000,0.0076240000,1.0880115425
11,0.0078130000,0.0076700000,1.0186440678
12,0.0078470000,0.0027370000,2.8670076726
13,0.0078930000,0.0028700000,2.7501742160
14,0.0055570000,0.0029780000,1.8660174614
15,0.0081800000,0.0027180000,3.0095658572
16,0.0074100000,0.0027140000,2.7302873987
17,0.0086220000,0.0027600000,3.1239130435
18,0.0061920000,0.0027600000,2.2434782609
19,0.0090120000,0.0077850000,1.1576107900
20,0.0063800000,0.0027150000,2.3499079190

Imagen: img2.jpg
Iteracion,opencv,cuda,aceleracion
1,0.0088390000,0.0028040000,3.1522824536
2,0.0068530000,0.0027810000,2.4642215031
3,0.0074380000,0.0065880000,1.1290224651
4,0.0071170000,0.0067220000,1.0587622731
5,0.0072250000,0.0024660000,2.9298459043
6,0.0056260000,0.0067960000,0.8278399058
7,0.0074530000,0.0024320000,3.0645559211
8,0.0072750000,0.0025380000,2.8664302600
9,0.0071890000,0.0085220000,0.8435813189
10,0.0088510000,0.0024420000,3.6244881245
11,0.0077020000,0.0029790000,2.5854313528
12,0.0088090000,0.0024280000,3.6280889621
13,0.0075890000,0.0024990000,3.0368147259
14,0.0087170000,0.0025270000,3.4495449149
15,0.0052330000,0.0027580000,1.8973894126
16,0.0085460000,0.0024600000,3.4739837398
17,0.0074840000,0.0024960000,2.9983974359
18,0.0075420000,0.0024500000,3.0783673469
19,0.0077270000,0.0025600000,3.0183593750
20,0.0094560000,0.0024090000,3.9252801993

Imagen: img3.jpg
Iteracion,opencv,cuda,aceleracion
1,0.0080030000,0.0078020000,1.0257626250
2,0.0073150000,0.0027340000,2.6755669349
3,0.0086610000,0.0026950000,3.2137291280
4,0.0069840000,0.0027490000,2.5405602037
5,0.0086610000,0.0029570000,2.9289820764
6,0.0058050000,0.0075900000,0.7648221344
7,0.0053570000,0.0054970000,0.9745315627
8,0.0095640000,0.0031030000,3.0821785369
9,0.0071510000,0.0027400000,2.6098540146
10,0.0082530000,0.0027560000,2.9945573295
11,0.0069120000,0.0027400000,2.5226277372
12,0.0075210000,0.0031970000,2.3525179856
13,0.0092450000,0.0027250000,3.3926605505
14,0.0077960000,0.0029580000,2.6355645707
15,0.0080000000,0.0027380000,2.9218407597
16,0.0074670000,0.0028870000,2.5864218912
17,0.0068900000,0.0078250000,0.8805111821
18,0.0085470000,0.0027500000,3.1080000000
19,0.0081720000,0.0029320000,2.7871759891
20,0.0069800000,0.0027630000,2.5262395946

